local_index,pointer_table_offset,pointer_value,name_rom_offset,name_length,decoded_name
87,0x0056EFB8,0x081DDD10,0x001DDD10,11,Prayer Ring
88,0x0056EFBC,0x081DDD1C,0x001DDD1C,9,Seal Ring
89,0x0056EFC0,0x081DDD26,0x001DDD26,12,Healing Ring
90,0x0056EFC4,0x081DDD33,0x001DDD33,12,Rousing Ring
91,0x0056EFC8,0x081DDD40,0x001DDD40,9,Holy Ring
92,0x0056EFCC,0x081DDD4A,0x001DDD4A,11,Sniper Ring
93,0x0056EFD0,0x081DDD56,0x001DDD56,10,Repel Ring
94,0x0056EFD4,0x081DDD61,0x001DDD61,12,Counter Ring
95,0x0056EFD8,0x081DDD6E,0x001DDD6E,12,Maid Uniform
96,0x0056EFDC,0x081DDD7B,0x001DDD7B,4,Card
97,0x0056EFE0,0x081DDD80,0x001DDD80,9,Used Card
98,0x0056EFE4,0x081DDD8A,0x001DDD8A,4,Card
99,0x0056EFE8,0x081DDD8F,0x001DDD8F,9,Used Card
100,0x0056EFEC,0x081DDD99,0x001DDD99,5,Kenji
101,0x0056EFF0,0x081DDD9F,0x001DDD9F,5,Rifle
102,0x0056EFF4,0x081DDDA5,0x001DDDA5,9,Papa Doll
103,0x0056EFF8,0x081DDDAF,0x001DDDAF,5,Youji
104,0x0056EFFC,0x081DDDB5,0x001DDDB5,9,Taboo Box
