row_index,source_kind,source_label,source_index,rom_offset,decoded_text
32,"text_surface","rotdd",2188,0x001AD456,"Mae: You're leaving me out?!<05><NEWLINE>You've got some nerve!<SPEAKER_BREAK>"
33,"text_surface","rotdd",2222,0x001ADDD9,"Mae: ...<02>I just can't<NEWLINE>relax when I think of<NEWLINE>all that water below us...<SPEAKER_BREAK>"
34,"text_surface","rotdd",2249,0x001AE568,"Mae: Father...<NEWLINE>I will fight for the honor<NEWLINE>of Guardiana's knights.<SPEAKER_BREAK>"
35,"text_surface","rotdd",2275,0x001AEF8D,"Ken: If you want, I could<NEWLINE>tell you my life story.<PAGE_BREAK>My father was a knight at the<NEWLINE>castle, just like Mae's.<PAGE_BREAK>His name was Thomas.<05><NEWLINE>But, he passed away when<NEWLINE>I was small...<SPEAKER_BREAK>"
36,"text_surface","rotdd",2284,0x001AF9F5,"Ken: Shortly after my father<NEWLINE>died, Mae turned up at my<NEWLINE>house, out of the blue.<PAGE_BREAK>We knew each other before<NEWLINE>that, but we'd never really<NEWLINE>talked that much...<PAGE_BREAK>I didn't know what she wanted.<NEWLINE>She dragged me outside with<NEWLINE>a terrible look on her face.<PAGE_BREAK>I had no idea where we were<NEWLINE>going. She took me into the<NEWLINE>mountains behind the house.<SPEAKER_BREAK>"
37,"text_surface","rotdd",2286,0x001AFC7B,"Ken: But as my daily training<NEWLINE>continued, I gradually came to<NEWLINE>understand.<PAGE_BREAK>Her methods were a bit rough,<NEWLINE>but that was actually Mae's<NEWLINE>way of being kind to me.<PAGE_BREAK>I'd just lost my father, and<NEWLINE>she was doing all she could<NEWLINE>to help me deal with it.<PAGE_BREAK>When I realized this, I made<NEWLINE>up my mind. I decided to be<NEWLINE>the best knight I could.<PAGE_BREAK>I still have a long way to go,<NEWLINE>mind you! Ha ha ha!<SPEAKER_BREAK>"
38,"text_surface","rotdd",2595,0x001BF994,"Mae: ...What's wrong?<PAGE_BREAK>Do I look weird or<NEWLINE>something?<PAGE_BREAK>...I don't, do I?<PAGE_BREAK>I hope not...<SPEAKER_BREAK>"
39,"text_surface","rotdd",2596,0x001BF9E9,"Mae: ............<PAGE_BREAK>...Ah, <PLAYER_NAME>!<PAGE_BREAK>I didn't notice you, sorry.<NEWLINE>I was thinking about<NEWLINE>something.<PAGE_BREAK>It's OK.<NEWLINE>Nothing to worry about.<SPEAKER_BREAK>"
40,"text_surface","rotdd",2597,0x001BFA63,"Mae: ............<PAGE_BREAK>To be honest, I'm feeling a<NEWLINE>bit down.<PAGE_BREAK>My country, Guardiana...<NEWLINE>Leaving has made me a little<NEWLINE>on edge.<PAGE_BREAK>I know what you're thinking!<05><NEWLINE>But, it doesn't mean I'm<NEWLINE>becoming faint-hearted...<PAGE_BREAK>It may come as a surprise to<NEWLINE>you, but I've been abroad<NEWLINE>before for training...<PAGE_BREAK>I was with my father back<NEWLINE>then, of course...<SPEAKER_BREAK>"
41,"text_surface","rotdd",2598,0x001BFBA7,"Mae: What? I'm fine, I tell<NEWLINE>you! I've forgotten all about<NEWLINE>Guardiana now.<PAGE_BREAK>Well, no, not exactly.<PAGE_BREAK>How could I possibly forget<NEWLINE>about Guardiana?!<PAGE_BREAK>In fact, I'm always thinking<NEWLINE>about it....<PAGE_BREAK>But right now, Runefaust<NEWLINE>and the Legacy of the Gods<NEWLINE>are more important.<PAGE_BREAK>So, I'll carry out my mission<NEWLINE>and then return to Guardiana.<PAGE_BREAK>Until then, I won't waste time<NEWLINE>thinking about it anymore.<PAGE_BREAK>That's all I wanted to say,<NEWLINE>really.<SPEAKER_BREAK>"
42,"text_surface","rotdd",2599,0x001BFD42,"Mae: Travelling all the time...<05><NEWLINE>It's tough, but maybe not<NEWLINE>so bad.<PAGE_BREAK>It's a pity that we're doing<NEWLINE>it because of a war and not<NEWLINE>just for fun...<PAGE_BREAK>Ah!<NEWLINE>Forget I said that!<PAGE_BREAK>I'm a knight! I shouldn't be<NEWLINE>saying things like that.<SPEAKER_BREAK>"
43,"text_surface","rotdd",2600,0x001BFE1D,"Mae: When I talk to you,<NEWLINE>I feel a bit odd...<PAGE_BREAK>I think I better avoid<NEWLINE>talking to you from<NEWLINE>now on...<PAGE_BREAK>Sorry! Just joking!<NEWLINE>Don't take it seriously...<SPEAKER_BREAK>"
44,"text_surface","rotdd",2601,0x001BFEAF,"Mae: <PLAYER_NAME>,<NEWLINE>I've never told anyone<NEWLINE>this before, but...<PAGE_BREAK>I'm sure I can trust you.<05><NEWLINE>Do you want to hear<NEWLINE>about my mother?<PAGE_BREAK>She died when I was a child.<PAGE_BREAK>Her name was Arisa.<05><NEWLINE>She was Guardiana's first<NEWLINE>female knight...<SPEAKER_BREAK>"
45,"text_surface","rotdd",2602,0x001BFF80,"Mae: My mother wasn't<NEWLINE>always a knight for Guardiana.<PAGE_BREAK>She came to Guardiana<NEWLINE>from a country in the west.<PAGE_BREAK>When she arrived, <NEWLINE>she was badly injured<NEWLINE>and close to death...<PAGE_BREAK>My father, Varios, helped her...<SPEAKER_BREAK>"
46,"text_surface","rotdd",2603,0x001C0048,"Mae: My mother was saved<NEWLINE>by my father, but she<NEWLINE>remained totally silent...<PAGE_BREAK>Days and days went by. Her<NEWLINE>wounds healed, but she still<NEWLINE>wouldn't speak...<PAGE_BREAK>Then one morning,<NEWLINE>she snuck out of the castle<NEWLINE>and ran away.<PAGE_BREAK>But...<PAGE_BREAK>My father followed her.<PAGE_BREAK>When I asked him why,<NEWLINE>he turned bright red!<PAGE_BREAK>Ha ha ha! Funny, huh?<PAGE_BREAK>It seems he'd fallen in love<NEWLINE>with her!<SPEAKER_BREAK>"
47,"text_surface","rotdd",2604,0x001C01A1,"Mae: My mother had gone into<NEWLINE>the forest near Guardiana.<PAGE_BREAK>It was dark in the forest, and<NEWLINE>my father lost sight of her...<PAGE_BREAK>After searching and <NEWLINE>searching, he finally<NEWLINE>found her...<PAGE_BREAK>It was the sound of her<NEWLINE>voice that led him to her.<PAGE_BREAK>In the middle of the forest,<NEWLINE>my mother was crying... Beside<NEWLINE>her was the body of a Centaur.<PAGE_BREAK>My father wondered if it was<NEWLINE>her lover. But, that was far<NEWLINE>from the truth...<SPEAKER_BREAK>"
48,"text_surface","rotdd",2605,0x001C032A,"Mae: When my mother noticed<NEWLINE>my father there, she finally<NEWLINE>spoke...<PAGE_BREAK>The dead Centaur had killed my<NEWLINE>mother's family. <NEWLINE>He was a vicious thief.<PAGE_BREAK>My mother had been chasing<NEWLINE>him for a long time to avenge<NEWLINE>her family's deaths.<PAGE_BREAK>When she turned up in<NEWLINE>Guardiana injured, it had been<NEWLINE>after a fierce fight with him.<SPEAKER_BREAK>"
49,"text_surface","rotdd",2606,0x001C0458,"Mae: While she was recovering<NEWLINE>in Guardiana, my mother had<NEWLINE>thought only of the Centaur.<PAGE_BREAK>He had been injured badly too,<NEWLINE>so she knew he couldn't be far<NEWLINE>away.<PAGE_BREAK>She snuck out of the castle<NEWLINE>to go off in search of him...<PAGE_BREAK>But when she found him, he had<NEWLINE>already died of his injuries.<PAGE_BREAK>My mother was crying because<NEWLINE>she hadn't been able to exact<NEWLINE>a proper revenge...<SPEAKER_BREAK>"
50,"text_surface","rotdd",2607,0x001C05BA,"Mae: And then...!<PAGE_BREAK>Rumor has it that an amazing<NEWLINE>love affair blossomed between<NEWLINE>the two of them...<PAGE_BREAK>Although, if I ask him about<NEWLINE>it, he won't tell me a thing!<PAGE_BREAK>They married, and my mother<NEWLINE>joined the knights.<PAGE_BREAK>As Guardiana's first female<NEWLINE>knight, she was really active.<PAGE_BREAK>But...<PAGE_BREAK>Soon after I was born, she got<NEWLINE>sick and died...<SPEAKER_BREAK>"
51,"text_surface","rotdd",2608,0x001C06F8,"Mae: So, I have a goal.<NEWLINE>I respect both my mother<NEWLINE>and my father, but...<PAGE_BREAK>I want to become an even<NEWLINE>better knight than my mother<NEWLINE>so that I can help my father.<PAGE_BREAK>Well, that's what I thought<NEWLINE>when I was a child. But now,<NEWLINE>that will never happen...<PAGE_BREAK>My father's not around<NEWLINE>anymore...<PAGE_BREAK>But, this is what I think.<05><NEWLINE>I'll become a great knight, as<NEWLINE>good as them both together.<PAGE_BREAK>And in Rune, I will make<NEWLINE>Guardiana's Band of Knights<NEWLINE>the best there is.<PAGE_BREAK>An elite band that will fight<NEWLINE>for justice and friendship!<PAGE_BREAK>...That is my dream.<SPEAKER_BREAK>"
52,"text_surface","rotdd",2609,0x001C08F7,"Mae: It's not long now<NEWLINE>until we fight Dark Dragon.<PAGE_BREAK>...I'll do my very best.<PAGE_BREAK>My mother and father are<NEWLINE>watching over me in heaven.<PAGE_BREAK>I'll make them proud and put<NEWLINE>up a good fight.<SPEAKER_BREAK>"
53,"text_surface","rotdd",2610,0x001C09A7,"Mae: Sorry, <PLAYER_NAME>.<NEWLINE>If you want to hear more,<NEWLINE>you'll have to wait a bit.<SPEAKER_BREAK>"
54,"text_surface","rotdd",2611,0x001C09EC,"Mae: Sorry, <PLAYER_NAME>.<NEWLINE>I have nothing else to say.<PAGE_BREAK>But if you don't mind hearing<NEWLINE>the same thing again...<SPEAKER_BREAK>"
55,"text_surface","rotdd",2706,0x001C66B1,"Narsha: ......Mae's a lovely<NEWLINE>girl, don't you think?<PAGE_BREAK>To be honest, I was a bit<NEWLINE>scared of her at first...<PAGE_BREAK>But when we got to talking,<NEWLINE>I realized she's really nice.<PAGE_BREAK>When Lowe was bothering<NEWLINE>me one time...<PAGE_BREAK>she just shoved him away!<PAGE_BREAK>I want to become strong<NEWLINE>like Mae one day.<SPEAKER_BREAK>"
56,"text_surface","rotdd",2818,0x001C9FBB,"Mae: ...That was Egress!<05><NEWLINE>Huh? Where's <PLAYER_NAME>?<05><NEWLINE>No... he couldn't be...<SPEAKER_BREAK>"
57,"text_surface","rotdd",2849,0x001CA7E1,"Mae: Huh? Isn't Egress<NEWLINE>supposed to have let<NEWLINE>all of us escape?<SPEAKER_BREAK>"
58,"text_surface","rotdd",2879,0x001CB0F3,"Mae: This is a joke, right?<NEWLINE>That'd mean that <PLAYER_NAME><NEWLINE>...with the castle!<SPEAKER_BREAK>"
59,"text_surface","rotdd",2910,0x001CB8B4,"Mae: ...That's not true!<PAGE_BREAK>Somebody say something!<NEWLINE>Tell me that <PLAYER_NAME> is<NEWLINE>still alive!<SPEAKER_BREAK>"
60,"text_surface","rotdd",2972,0x001CC964,"Mae: ...Don't worry.<NEWLINE><PLAYER_NAME>'s got to<NEWLINE>be alive. I know it!<SPEAKER_BREAK>"
61,"text_surface","rotdd",3003,0x001CD57F,"Mae: ...<PAGE_BREAK>Why'd you do this? Our long<NEWLINE>fight was finally over, and<NEWLINE>you had so much ahead of you.<PAGE_BREAK>Everyone would have welcomed<NEWLINE>you with open arms when we<NEWLINE>got back to Guardiana...<PAGE_BREAK>You would have been the hero<NEWLINE>of Guardiana...<05><NEWLINE>no, of all of Rune...<PAGE_BREAK>But now...<NEWLINE>with the hero gone, there'll<NEWLINE>be nothing but sorrow...<PAGE_BREAK>...<PAGE_BREAK>And I... I wanted to...<SPEAKER_BREAK>"
62,"text_surface","rotdd",3030,0x001D065F,"In Guardiana,<NEWLINE>Anri became queen.<PAGE_BREAK>And Mae, Lowe, and the others<NEWLINE>worked to rebuild their land.<PAGE_BREAK>In Runefaust, Narsha<NEWLINE>took her father's place, and<NEWLINE>the kingdom knew peace.<PAGE_BREAK>Some of their friends returned<NEWLINE>to their homes, while others<NEWLINE>went in search of new lands.<PAGE_BREAK>And as time passed...<PAGE_BREAK>The story of the strong and<NEWLINE>righteous Shining Force became<NEWLINE>a legend among the people.<PAGE_BREAK>However...<NEWLINE>No one knows what<NEWLINE>became of <PLAYER_NAME>...<PAGE_BREAK>It is said that he disappeared<NEWLINE>into the sea along with Dark<NEWLINE>Dragon and the castle.<SPEAKER_BREAK>"
63,"text_surface","rotdd",3106,0x001D1F66,"Mae: Oh, yeah. <02><PLAYER_NAME>,<NEWLINE>I've been meaning to give<NEWLINE>you this for a while...<PAGE_BREAK>You can have it<NEWLINE>if you want it.<SPEAKER_BREAK>"
64,"text_surface","rotdd",3527,0x001DAC9A,"Mae joins the Shining Force!"
